,name,latitude,longitude,bikes_available
420,Victoria Park Ave / Danforth Ave,43.691468,-79.288619,11
421,Union Station,43.645609,-79.380386,11
422,Hayter St / Laplante Ave,43.6591666666667,-79.3855555555556,12
423,Seaton St / Dundas St E - SMART,43.658777,-79.369596,19
424,Lundy Ave / Etienne Brule Park,43.6625395,-79.5030161,14
425,Chiltern Hill Rd / Eglinton Ave W,43.7004017,-79.4275305,0
426,Torresdale Ave / Antibes Dr,43.77953,-79.45233,8
427,Esther Shiner Stadium,43.7774374,-79.4447096,11
428,St. George St / Hoskin Ave,43.6637403,-79.39806449999999,7
429,Fleming Cres / Bayview Ave,43.707045,-79.375437,0
430,King St E / Victoria St,43.6495789,-79.3762096,13
431,Alameda Ave / Vaughan Rd - SMART,43.690903,-79.4375028,1
432,Adelaide St W / Strachan Ave,43.643253094827294,-79.41230469904167,14
433,Royal York Rd / Lake Shore Blvd W,43.6029904,-79.4926867,17
434,Runnymede Rd / Annette St,43.6596299,-79.4799176,11
435,Salem Ave / Bloor St W,43.6608333,-79.43166666666667,5
436,Dufferin St / Bloor St W,43.66083333333333,-79.43583333333333,6
437,Davisville Ave / Pailton Cres,43.69933,-79.39199,9
438,High Park Ave / Dundas St W,43.6653032,-79.4701178,8
439,Judson St / Royal York Rd,43.6162721,-79.4990363,6
440,Wilket Creek Park,43.720645,-79.355474,7
441,Annette St / Dundas St W,43.6641174,-79.4588522,4
442,Noble St / Queen St W,43.6424558,-79.4296346,11
443,Oriole Pkwy / Kilbarry Rd,43.6954486,-79.4026176,0
444,East Lynn Ave / Danforth Ave,43.6850809,-79.3149901,8
445,Langford Ave / Danforth Ave - SMART,43.6800218,-79.3405681,2
446,University of Toronto Scarborough,43.7842419,-79.1849889,2
447,190 Queens Quay E,43.6451308,-79.36536439999999,13
448,324 Cherry St,43.6482995,-79.3552533,0
449,Elm St/ University Ave (East Side),43.65637299999999,-79.38781039999999,4
450,Walton St / Elizabeth St - SMART,43.657838,-79.38631,5
451,Waterfront Trail (Rouge Hill),43.778015,-79.131911,17
